variant,row,word_page,word_y,oxi_cy,oxi_rh_pre,delta
N01_base_8r_fs7_aL17,1,1,99.0,0.5,17.0,-98.5
N01_base_8r_fs7_aL17,2,1,117.75,19.0,17.0,-98.75
N01_base_8r_fs7_aL17,3,1,135.75,37.5,17.0,-98.25
N01_base_8r_fs7_aL17,4,1,154.5,56.0,17.0,-98.5
N01_base_8r_fs7_aL17,5,1,173.25,74.5,17.0,-98.75
N01_base_8r_fs7_aL17,6,1,191.25,93.0,17.0,-98.25
N01_base_8r_fs7_aL17,7,1,210.0,111.5,17.0,-98.5
N01_base_8r_fs7_aL17,8,1,228.75,130.0,17.0,-98.75
N02_4r_fs7_aL17,1,1,99.0,0.5,17.0,-98.5
N02_4r_fs7_aL17,2,1,117.75,19.0,17.0,-98.75
N02_4r_fs7_aL17,3,1,135.75,37.5,17.0,-98.25
N02_4r_fs7_aL17,4,1,154.5,56.0,17.0,-98.5
N03_2r_fs7_aL17,1,1,99.0,0.5,17.0,-98.5
N03_2r_fs7_aL17,2,1,117.75,19.0,17.0,-98.75
N04_1r_fs7_aL17,1,1,99.0,0.5,17.0,-98.5
N05_8r_fs10_aL17,1,1,96.75,0.5,17.0,-96.25
N05_8r_fs10_aL17,2,1,115.5,19.0,17.0,-96.5
N05_8r_fs10_aL17,3,1,133.5,37.5,17.0,-96.0
N05_8r_fs10_aL17,4,1,152.25,56.0,17.0,-96.25
N05_8r_fs10_aL17,5,1,171.0,74.5,17.0,-96.5
N05_8r_fs10_aL17,6,1,189.0,93.0,17.0,-96.0
N05_8r_fs10_aL17,7,1,207.75,111.5,17.0,-96.25
N05_8r_fs10_aL17,8,1,226.5,130.0,17.0,-96.5
N06_8r_fs105_aL17,1,1,96.75,0.5,17.0,-96.25
N06_8r_fs105_aL17,2,1,115.5,19.0,17.0,-96.5
N06_8r_fs105_aL17,3,1,133.5,37.5,17.0,-96.0
N06_8r_fs105_aL17,4,1,152.25,56.0,17.0,-96.25
N06_8r_fs105_aL17,5,1,171.0,74.5,17.0,-96.5
N06_8r_fs105_aL17,6,1,189.0,93.0,17.0,-96.0
N06_8r_fs105_aL17,7,1,207.75,111.5,17.0,-96.25
N06_8r_fs105_aL17,8,1,226.5,130.0,17.0,-96.5
N07_8r_fs7_auto,1,1,99.0,0.5,9.25,-98.5
N07_8r_fs7_auto,2,1,117.75,19.0,9.25,-98.75
N07_8r_fs7_auto,3,1,135.75,37.5,9.25,-98.25
N07_8r_fs7_auto,4,1,154.5,56.0,9.25,-98.5
N07_8r_fs7_auto,5,1,173.25,74.5,9.25,-98.75
N07_8r_fs7_auto,6,1,191.25,93.0,9.25,-98.25
N07_8r_fs7_auto,7,1,210.0,111.5,9.25,-98.5
N07_8r_fs7_auto,8,1,228.75,130.0,9.25,-98.75
N08_8r_fs7_exact17,1,1,99.0,0.5,17.0,-98.5
N08_8r_fs7_exact17,2,1,116.25,17.5,17.0,-98.75
N08_8r_fs7_exact17,3,1,132.75,34.5,17.0,-98.25
N08_8r_fs7_exact17,4,1,150.0,51.5,17.0,-98.5
N08_8r_fs7_exact17,5,1,167.25,68.5,17.0,-98.75
N08_8r_fs7_exact17,6,1,183.75,85.5,17.0,-98.25
N08_8r_fs7_exact17,7,1,201.0,102.5,17.0,-98.5
N08_8r_fs7_exact17,8,1,218.25,119.5,17.0,-98.75
N09_8r_fs7_aL24,1,1,99.0,0.5,24.0,-98.5
N09_8r_fs7_aL24,2,1,123.75,24.5,24.0,-99.25
N09_8r_fs7_aL24,3,1,147.75,48.5,24.0,-99.25
N09_8r_fs7_aL24,4,1,172.5,72.5,24.0,-100.0
N09_8r_fs7_aL24,5,1,197.25,96.5,24.0,-100.75
N09_8r_fs7_aL24,6,1,221.25,120.5,24.0,-100.75
N09_8r_fs7_aL24,7,1,246.0,144.5,24.0,-101.5
N09_8r_fs7_aL24,8,1,270.75,168.5,24.0,-102.25
N10_8r_fs7_aL17_1col,1,1,99.0,0.5,17.0,-98.5
N10_8r_fs7_aL17_1col,2,1,117.75,19.0,17.0,-98.75
N10_8r_fs7_aL17_1col,3,1,135.75,37.5,17.0,-98.25
N10_8r_fs7_aL17_1col,4,1,154.5,56.0,17.0,-98.5
N10_8r_fs7_aL17_1col,5,1,173.25,74.5,17.0,-98.75
N10_8r_fs7_aL17_1col,6,1,191.25,93.0,17.0,-98.25
N10_8r_fs7_aL17_1col,7,1,210.0,111.5,17.0,-98.5
N10_8r_fs7_aL17_1col,8,1,228.75,130.0,17.0,-98.75
N11_8r_fs9_aL20,1,1,97.5,0.5,20.0,-97.0
N11_8r_fs9_aL20,2,1,117.75,20.5,20.0,-97.25
N11_8r_fs9_aL20,3,1,138.75,40.5,20.0,-98.25
N11_8r_fs9_aL20,4,1,159.0,60.5,20.0,-98.5
N11_8r_fs9_aL20,5,1,179.25,80.5,20.0,-98.75
N11_8r_fs9_aL20,6,1,200.25,100.5,20.0,-99.75
N11_8r_fs9_aL20,7,1,220.5,120.5,20.0,-100.0
N11_8r_fs9_aL20,8,1,240.75,140.5,20.0,-100.25
