table,row,word_y,oxi_cy,word_rh,oxi_rh,delta_rh
1,0,111.75,107.0,24.75,12.5,-12.25
1,1,136.5,119.5,30.0,37.58000000000001,7.58
1,2,166.5,157.08,23.25,22.25,-1.0
1,3,189.75,179.33,22.5,22.25,-0.25
1,4,212.25,201.58,23.25,22.25,-1.0
1,5,235.5,223.83,22.5,22.25,-0.25
2,0,303.0,291.83,16.5,12.5,-4.0
2,1,319.5,304.33,21.75,16.850000000000023,-4.9
2,2,341.25,321.18,21.0,16.849999999999966,-4.15
2,3,362.25,338.03,21.0,16.850000000000023,-4.15
2,4,383.25,354.88,33.75,28.850000000000023,-4.9
2,5,417.0,383.73,21.0,18.849999999999966,-2.15
2,6,438.0,402.58,21.0,16.850000000000023,-4.15
3,0,504.0,459.78,16.5,12.5,-4.0
3,1,520.5,472.28,21.75,18.850000000000023,-2.9
3,2,542.25,491.13,21.0,20.5,-0.5
3,3,563.25,511.63,21.0,16.850000000000023,-4.15
4,0,629.25,568.83,16.5,12.5,-4.0
4,1,645.75,581.33,21.75,18.84999999999991,-2.9
4,2,667.5,600.18,21.0,20.5,-0.5
4,3,688.5,620.68,21.0,16.850000000000023,-4.15
5,0,69.75,702.18,24.0,56.0,32.0
5,2,123.0,83.8,29.25,21.299999999999997,-7.95
5,3,152.25,105.1,51.75,52.400000000000006,0.65
5,4,204.0,157.5,29.25,28.0,-1.25
5,5,233.25,185.5,49.5,49.400000000000006,-0.1
5,6,282.75,234.9,101.25,100.20000000000002,-1.05
5,7,384.0,335.1,83.25,82.64999999999998,-0.6
5,8,467.25,417.75,85.5,77.89999999999998,-7.6
5,11,360.75,353.15,128.25,120.5,-7.75
5,12,489.0,473.65,33.0,238.06000000000006,205.06
5,13,522.0,711.71,21.0,20.25,-0.75
5,14,543.0,731.96,21.0,20.25,-0.75
5,16,584.25,82.75,21.0,20.25,-0.75
5,17,605.25,103.0,21.0,20.25,-0.75
5,18,626.25,123.25,20.25,20.25,0.0
5,19,646.5,143.5,21.0,20.25,-0.75
5,20,667.5,163.75,21.0,20.25,-0.75
5,21,688.5,184.0,20.25,20.25,0.0
5,23,66.75,224.5,444.75,476.0,31.25
5,24,511.5,700.5,51.75,91.29999999999995,39.55
5,27,70.5,147.6,180.0,187.38000000000002,7.38
5,28,250.5,334.98,62.25,79.75,17.5
